,type,auc
0,100_faces_100_each_upright,0.9664374999999998
1,100_faces_100_each_inverted,0.7238020833333332
2,100_objects_100_each_upright,0.5750111111111111
3,100_objects_100_each_inverted,0.5834041666666667
4,hands_both_bg_unbalanced_upright,0.5096506944444446
5,hands_both_bg_unbalanced_inverted,0.5038944444444444
6,100_faces_100_each_upright,0.5838013888888889
7,100_faces_100_each_inverted,0.5936513888888889
8,100_objects_100_each_upright,0.9735555555555556
9,100_objects_100_each_inverted,0.9176326388888889
10,hands_both_bg_unbalanced_upright,0.5438027777777777
11,hands_both_bg_unbalanced_inverted,0.5459166666666666
12,100_faces_100_each_upright,0.5251118055555556
13,100_faces_100_each_inverted,0.5193836805555556
14,100_objects_100_each_upright,0.54576875
15,100_objects_100_each_inverted,0.5487597222222222
16,hands_both_bg_unbalanced_upright,0.9791277777777777
17,hands_both_bg_unbalanced_inverted,0.7099541666666667
