,id,auc,dcnn_domain,img_domain,orientation
0,faces_1,0.519375,faces,hands_both_bg_unbalanced,upright
1,faces_2,0.45687500000000003,faces,hands_both_bg_unbalanced,upright
2,faces_3,0.5481250000000001,faces,hands_both_bg_unbalanced,upright
3,faces_4,0.47000000000000003,faces,hands_both_bg_unbalanced,upright
4,faces_5,0.530625,faces,hands_both_bg_unbalanced,upright
5,faces_6,0.51375,faces,hands_both_bg_unbalanced,upright
6,faces_7,0.55875,faces,hands_both_bg_unbalanced,upright
7,faces_8,0.60125,faces,hands_both_bg_unbalanced,upright
8,faces_9,0.524375,faces,hands_both_bg_unbalanced,upright
9,faces_10,0.6025,faces,hands_both_bg_unbalanced,upright
10,faces_11,0.59375,faces,hands_both_bg_unbalanced,upright
11,faces_12,0.41375,faces,hands_both_bg_unbalanced,upright
12,faces_13,0.459375,faces,hands_both_bg_unbalanced,upright
13,faces_14,0.519375,faces,hands_both_bg_unbalanced,upright
14,faces_15,0.540625,faces,hands_both_bg_unbalanced,upright
15,faces_16,0.43937500000000007,faces,hands_both_bg_unbalanced,upright
16,faces_17,0.366875,faces,hands_both_bg_unbalanced,upright
17,faces_18,0.61,faces,hands_both_bg_unbalanced,upright
18,faces_19,0.579375,faces,hands_both_bg_unbalanced,upright
19,faces_20,0.55125,faces,hands_both_bg_unbalanced,upright
20,faces_21,0.48937499999999995,faces,hands_both_bg_unbalanced,upright
21,faces_22,0.39749999999999996,faces,hands_both_bg_unbalanced,upright
22,faces_23,0.46375,faces,hands_both_bg_unbalanced,upright
23,faces_24,0.5562499999999999,faces,hands_both_bg_unbalanced,upright
24,faces_25,0.550625,faces,hands_both_bg_unbalanced,upright
25,faces_26,0.47874999999999995,faces,hands_both_bg_unbalanced,upright
26,faces_27,0.5675,faces,hands_both_bg_unbalanced,upright
27,faces_28,0.568125,faces,hands_both_bg_unbalanced,upright
28,faces_29,0.484375,faces,hands_both_bg_unbalanced,upright
29,faces_30,0.39812500000000006,faces,hands_both_bg_unbalanced,upright
