"","dcnn_domain","img_domain","orientation","variable","n","mean","sd"
"1","faces","100_faces_100_each","inverted","auc",30,0.724,0.058
"2","faces","100_faces_100_each","upright","auc",30,0.967,0.022
"3","faces","100_objects_100_each","inverted","auc",30,0.582,0.072
"4","faces","100_objects_100_each","upright","auc",30,0.575,0.049
"5","faces","hands_both_bg_unbalanced","inverted","auc",30,0.503,0.083
"6","faces","hands_both_bg_unbalanced","upright","auc",30,0.512,0.066
"7","hands_both","100_faces_100_each","inverted","auc",30,0.521,0.058
"8","hands_both","100_faces_100_each","upright","auc",30,0.524,0.076
"9","hands_both","100_objects_100_each","inverted","auc",30,0.55,0.065
"10","hands_both","100_objects_100_each","upright","auc",30,0.547,0.062
"11","hands_both","hands_both_bg_unbalanced","inverted","auc",30,0.708,0.062
"12","hands_both","hands_both_bg_unbalanced","upright","auc",30,0.979,0.013
"13","objects","100_faces_100_each","inverted","auc",30,0.594,0.06
"14","objects","100_faces_100_each","upright","auc",30,0.584,0.066
"15","objects","100_objects_100_each","inverted","auc",30,0.918,0.038
"16","objects","100_objects_100_each","upright","auc",30,0.974,0.014
"17","objects","hands_both_bg_unbalanced","inverted","auc",30,0.546,0.06
"18","objects","hands_both_bg_unbalanced","upright","auc",30,0.545,0.056
